GUID,Val1+Val2,IsDuplicateGuid (Y or N),Is Val3 length greater than the average length of Val3 (Y or N)
RXA870WAKZDI5621CSJOTX2BPVYY0ZRV,761829,N,Y
X1WBODIMOZM47MXUYE6Z793F35MH5RE2,654269,N,N
NVXOMPZ2IB2EE83I3KXPB63BOOXCNVPI,1773879,N,N
12NIGOAPANVWJVTKKJ208J5RFPETCO49,1217874,N,N
E8CFONLNBLTN88BPTWQG0YWWZM7670GW,922715,N,N
KVT55W25XDZI3IBVRSGPGATV3YJLQRTT,1377143,N,N
CUHYEU2POX6V2MK5KLM9QZYJZ4661A0F,1048417,N,N
XW7GTO69KEMMNJA8TNAGG8X6PMEXRW5M,361417,N,N
ZY9003WVMUXOS0JK837R19HFQ0SSPJQ0,1109818,N,Y
SRN5JDUU9WTGQLQH3EQCT3MC6A7N8W8X,1456591,N,Y
UVJ04Z2WFAM8XCPJYIQMTA79RGDD1CKU,726204,N,Y
TB4BDE1KLKL6RD5E7VPJS3KXIF1VIOI3,537297,N,Y
ZDBQ4E7LEX5G99OJI8M3L47YBQAA7L8R,553628,N,N
JCAI8WDG2MHBTWOAU6P5I4T8UN4L88R9,1442396,N,Y
HRUH5FUJ11ON1BSP1R93SLZMNCJL7WKS,1156751,N,Y
JAQB4WTM4XFIASUFDUOTXEW2DWLYSG3D,1375979,N,Y
J8CZ6ZA85945NDSQMQL1OPUHO6MQWK70,419427,N,Y
ZKJOJN4B3YQNQ5CA5IF22TV9UM7XM4AQ,1673540,N,N
LS8V74QMSR1FIS0IO50G03Z4DLU7KS4H,1358592,N,N
HIPVP2DPZQW7HZ6ZSSCVW8QYR5PFJO4E,1317817,N,N
6Z8XYD88SUL1KOVQ7G7P156VD3W1RYAK,542452,N,Y
SLJFADI9KWDLPHAOXANO6C09X9UQMMAK,991853,Y,N
QKAS7LIXZLIBAAIZFMZS0H564PEGD3O2,1096387,N,N
J3XVENC8FQ43MQKUAM3D996PXCYBG7TM,1161310,N,N
5MBLR0EJYSW20U628GRTLQAAIXXC7R83,1573723,N,Y
Z7IG4UTZS59OEDV7RLT9OFTOUZ6FK1Z0,343253,N,N
QHD9A2J20HWXY75T2J961KZHG39J8VYO,1597015,N,N
YD2IT7YCZ8Y2C83S7VACSVNG9WL2AW9N,1041000,N,Y
9UV9607CRP480OU5O2Q5FJ9W10T7YR15,832728,N,Y
97KUTBTUM51GCSIX5NYFMCTFWZHQV9PC,1122406,N,Y
58UJLJPJVYR9VEKSUK6D2A2AMZ6Q3NCW,1679614,N,N
HCS7OETBGXQ0S1O51PHXNJ9H9KM4QNNP,567669,N,Y
2EWZ7M8FO8QIJB6LV8I8Z3EBA5EXRF2N,1756462,N,N
PAZG2ATXUK2EIRL3OZ3GJZEWFOCYN8V4,555120,N,N
S38LIF97FIZ1A9UTAR9WM2UC0Q1KL4A2,587592,N,Y
4IXS25KOCYG76JTFPLMJTDNJVKM0ADCA,95490,N,N
K4SFOKAET633D8IHBHT3W7HYIT53SBKB,179583,N,N
1TPPF3CA8RGOXDVTJQQG7MN0B8M0HXLZ,355753,N,N
8BXXMEEGPAURAUVP8VYSX6PFGDCM3IFV,337752,N,N
4SGVA7DB9S1BLO2YT4JYDTVRJWARSIOC,1235966,N,Y
L2PHBTWQTW9GTA8KCJLV3Q1CJHBP822U,199175,N,Y
H788GZMTYTEU9BDW7O6U67MT88BA6JS5,1832273,N,N
RHXXMTM0HOJH6DVO0OSKAVQMG08Y9WFJ,551347,N,N
YIV5NGEA8YM2IBXATG0GBT87EHTPEN5E,1268458,N,N
H5YIBHO7TBWI5H0B01X5Q9G0A2LFYXDI,883416,N,Y
UNHJK2TNDDU4PQG7K0M7JM9M5DNO1HJZ,670429,N,N
P9FH8U6PYFP11LHRKZR5451FIG1PHGFG,1354749,N,N
IXWPU7DHJYSDWQ8C5D06M3ERZQV3V5T0,1057549,N,N
X06F2Y405OUMYXPZXCATRJP0IULM7874,1758318,N,N
71LKK05IH0GUMODC3J9ZP10O9AJIMQ08,1230064,N,Y
O6P2XTE1AOMHCQHQH78LYDICDBWQZ7Y6,1081199,N,N
U1FYIF7VKCFKHRNM1REOXCP61WVPFHL7,605455,N,N
YLU9EQXMBCRD0L11HNMBZI5KN7P2ORAT,1214500,N,N
10MOA7ODO479RX7F79446NRVB8SD7YMD,1159242,N,N
1QPDB4W33GSSA6NONSCPRRS2YFCRPUJY,717265,N,N
Z6JWM8IN21N782WI5WR5LP11JU6LMJ1K,1368538,N,N
87DQ6FXBL7L8L71AEWNVQVUEVF7YQF7I,622939,N,Y
HLELNO4IF9LZPZKBAPMBPGB0Z4E6LKOV,1041168,N,N
J68V6OZ2UY1HAD4WB0HGX6XXX7AA5CQ8,1003669,N,Y
I8O13X9KA7RB3AHT74TJQDP28GLQMMMV,1469029,N,N
